"","company_akzo","company_philips","company_unilever","company_van_houten","product_code","product_number","full_address","name","product_category_laptop","product_category_smartphone","product_category_tablet","product_category_tv"
"1",0,1,0,0,"p","5","Groningensingel 147,arnhem,the netherlands","dhr p. jansen",0,1,0,0
"2",0,1,0,0,"p","43","Groningensingel 148,arnhem,the netherlands","dhr p. hansen",0,1,0,0
"3",0,1,0,0,"x","3","Groningensingel 149,arnhem,the netherlands","dhr j. Gansen",1,0,0,0
"4",0,1,0,0,"x","34","Groningensingel 150,arnhem,the netherlands","dhr p. mansen",1,0,0,0
"5",0,1,0,0,"x","12","Groningensingel 151,arnhem,the netherlands","dhr p. fransen",1,0,0,0
"6",0,1,0,0,"p","23","Groningensingel 152,arnhem,the netherlands","dhr p. franssen",0,1,0,0
"7",1,0,0,0,"v","43","Leeuwardenweg 178,arnhem,the netherlands","dhr p. bansen",0,0,0,1
"8",1,0,0,0,"v","12","Leeuwardenweg 179,arnhem,the netherlands","dhr p. vansen",0,0,0,1
"9",1,0,0,0,"x","5","Leeuwardenweg 180,arnhem,the netherlands","dhr p. bransen",1,0,0,0
"10",1,0,0,0,"p","34","Leeuwardenweg 181,arnhem,the netherlands","dhr p. janssen",0,1,0,0
"11",1,0,0,0,"q","5","Leeuwardenweg 182,arnhem,the netherlands","mevr l.  rokken",0,0,1,0
"12",1,0,0,0,"q","9","Leeuwardenweg 183,arnhem,the netherlands","mevr l.  lokken",0,0,1,0
"13",1,0,0,0,"x","8","Leeuwardenweg 184,arnhem,the netherlands","mevr l.  mokken",1,0,0,0
"14",0,1,0,0,"p","56","Delfzijlstraat 54,arnhem,the netherlands","mevr l.  mokken",0,1,0,0
"15",0,1,0,0,"v","67","Delfzijlstraat 55,arnhem,the netherlands","mevr l.  mokken",0,0,0,1
"16",0,1,0,0,"v","21","Delfzijlstraat 56,arnhem,the netherlands","mevr l.  mokken",0,0,0,1
"17",0,0,0,1,"x","45","Delfzijlstraat 57,arnhem,the netherlands","mevr l.  sokken",1,0,0,0
"18",0,0,0,1,"v","56","Delfzijlstraat 58,arnhem,the netherlands","mevr l.  wokken",0,0,0,1
"19",0,0,0,1,"v","65","Delfzijlstraat 59,arnhem,the netherlands","mevr l.  kokken",0,0,0,1
"20",0,0,0,1,"x","21","Delfzijlstraat 60,arnhem,the netherlands","mevr l.  Bokken",1,0,0,0
"21",0,0,0,1,"p","23","Delfzijlstraat 61,arnhem,the netherlands","mevr l.  dokken",0,1,0,0
"22",0,0,1,0,"x","3","Jourestraat 23,arnhem,the netherlands","mevr l.  gokken",1,0,0,0
"23",0,0,1,0,"q","4","Jourestraat 24,arnhem,the netherlands","mevr l.  stokken",0,0,1,0
"24",0,0,1,0,"q","6","Jourestraat 25,arnhem,the netherlands","mevr l.  rokken",0,0,1,0
"25",0,0,1,0,"q","8","Jourestraat 26,arnhem,the netherlands","mevr l.  rokken",0,0,1,0
